Rank,Title,Year,Director,Cast,Rating,Poster
1,The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins,  Morgan Freeman",9.2,\Posters\The Shawshank Redemption
2,The Godfather,1972,Francis Ford Coppola,"Marlon Brando,  Al Pacino",9.2,\Posters\The Godfather
3,The Dark Knight,2008,Christopher Nolan,"Christian Bale,  Heath Ledger",9.0,\Posters\The Dark Knight
4,The Godfather Part II,1974,Francis Ford Coppola,"Al Pacino,  Robert De Niro",9.0,\Posters\The Godfather Part II
5,12 Angry Men,1957,Sidney Lumet,"Henry Fonda,  Lee J. Cobb",9.0,\Posters\12 Angry Men
6,Schindler's List,1993,Steven Spielberg,"Liam Neeson,  Ralph Fiennes",8.9,\Posters\Schindler's List
7,The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood,  Viggo Mortensen",8.9,\Posters\The Lord of the Rings: The Return of the King
8,Pulp Fiction,1994,Quentin Tarantino,"John Travolta,  Uma Thurman",8.8,\Posters\Pulp Fiction
9,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood,  Ian McKellen",8.8,\Posters\The Lord of the Rings: The Fellowship of the Ring
10,"Il buono, il brutto, il cattivo",1966,Sergio Leone,"Clint Eastwood,  Eli Wallach",8.8,"\Posters\Il buono, il brutto, il cattivo"
11,Forrest Gump,1994,Robert Zemeckis,"Tom Hanks,  Robin Wright",8.8,\Posters\Forrest Gump
12,Fight Club,1999,David Fincher,"Brad Pitt,  Edward Norton",8.7,\Posters\Fight Club
13,The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood,  Ian McKellen",8.7,\Posters\The Lord of the Rings: The Two Towers
14,Inception,2010,Christopher Nolan,"Leonardo DiCaprio,  Joseph Gordon-Levitt",8.7,\Posters\Inception
15,The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill,  Harrison Ford",8.7,\Posters\The Empire Strikes Back
16,The Matrix,1999,Lana Wachowski,"Keanu Reeves,  Laurence Fishburne",8.7,\Posters\The Matrix
17,GoodFellas,1990,Martin Scorsese,"Robert De Niro,  Ray Liotta",8.7,\Posters\GoodFellas
18,One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson,  Louise Fletcher",8.6,\Posters\One Flew Over the Cuckoo's Nest
19,Se7en,1995,David Fincher,"Morgan Freeman,  Brad Pitt",8.6,\Posters\Se7en
20,Shichinin no samurai,1954,Akira Kurosawa,"Toshirô Mifune,  Takashi Shimura",8.6,\Posters\Shichinin no samurai
21,It's a Wonderful Life,1946,Frank Capra,"James Stewart,  Donna Reed",8.6,\Posters\It's a Wonderful Life
22,The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster,  Anthony Hopkins",8.6,\Posters\The Silence of the Lambs
23,Cidade de Deus,2002,Fernando Meirelles,"Alexandre Rodrigues,  Leandro Firmino",8.6,\Posters\Cidade de Deus
24,Saving Private Ryan,1998,Steven Spielberg,"Tom Hanks,  Matt Damon",8.6,\Posters\Saving Private Ryan
25,La vita è bella,1997,Roberto Benigni,"Roberto Benigni,  Nicoletta Braschi",8.6,\Posters\La vita è bella
26,Interstellar,2014,Christopher Nolan,"Matthew McConaughey,  Anne Hathaway",8.6,\Posters\Interstellar
27,The Green Mile,1999,Frank Darabont,"Tom Hanks,  Michael Clarke Duncan",8.6,\Posters\The Green Mile
28,Star Wars,1977,George Lucas,"Mark Hamill,  Harrison Ford",8.5,\Posters\Star Wars
29,Terminator 2: Judgment Day,1991,James Cameron,"Arnold Schwarzenegger,  Linda Hamilton",8.5,\Posters\Terminator 2: Judgment Day
30,Back to the Future,1985,Robert Zemeckis,"Michael J. Fox,  Christopher Lloyd",8.5,\Posters\Back to the Future
31,Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki,"Daveigh Chase,  Suzanne Pleshette",8.5,\Posters\Sen to Chihiro no kamikakushi
32,The Pianist,2002,Roman Polanski,"Adrien Brody,  Thomas Kretschmann",8.5,\Posters\The Pianist
33,Psycho,1960,Alfred Hitchcock,"Anthony Perkins,  Janet Leigh",8.5,\Posters\Psycho
34,Gisaengchung,2019,Bong Joon Ho,"Song Kang-ho,  Lee Sun-kyun",8.5,\Posters\Gisaengchung
35,Léon,1994,Luc Besson,"Jean Reno,  Gary Oldman",8.5,\Posters\Léon
36,The Lion King,1994,Roger Allers,"Matthew Broderick,  Jeremy Irons",8.5,\Posters\The Lion King
37,Gladiator,2000,Ridley Scott,"Russell Crowe,  Joaquin Phoenix",8.5,\Posters\Gladiator
38,American History X,1998,Tony Kaye,"Edward Norton,  Edward Furlong",8.5,\Posters\American History X
39,The Departed,2006,Martin Scorsese,"Leonardo DiCaprio,  Matt Damon",8.5,\Posters\The Departed
40,The Usual Suspects,1995,Bryan Singer,"Kevin Spacey,  Gabriel Byrne",8.5,\Posters\The Usual Suspects
41,The Prestige,2006,Christopher Nolan,"Christian Bale,  Hugh Jackman",8.5,\Posters\The Prestige
42,Whiplash,2014,Damien Chazelle,"Miles Teller,  J.K. Simmons",8.5,\Posters\Whiplash
43,Casablanca,1942,Michael Curtiz,"Humphrey Bogart,  Ingrid Bergman",8.5,\Posters\Casablanca
